symbol,timeframe,signal_date,entry_price,exit_price,hold_days,rank,predicted_discount,revenue_growth,debt_to_equity,fair_ps,current_ps,gross_return,net_return,success,growth_bucket
VESTUM,3M,2023-12-01,4.688,8.95,90,1,0.9898530330949041,2.7545851021317853,0.7717614804660726,32.90501182155749,0.33388606596512976,0.9091296928327645,0.9071296928327645,True,>100%
ELMRA,3M,2023-12-01,20.9125,25.9274,90,2,0.9887350367636681,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09370063302279011,0.2398039450089658,0.2378039450089658,True,50-100%
ENRO,3M,2023-12-01,0.526,0.62,90,3,0.9882337989399331,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03765334802150538,0.1787072243346007,0.1767072243346007,True,0-20%
SAMT B,3M,2023-12-01,3.6,3.76,90,4,0.983785169201785,0.4152080706179066,0.19816946331992788,7.268677778432592,0.11786038030402937,0.04444444444444436,0.04244444444444436,True,20-50%
NAS,3M,2023-12-01,9.7828,16.0649,90,5,0.9837019633248018,2.717480718056012,2.3992720178902793,29.583547539588128,0.48215374278267875,0.6421576644723394,0.6401576644723393,True,>100%
ENRO,3M,2023-12-31,0.526,0.58,90,1,0.9882337989399331,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03765334802150538,0.10266159695817478,0.10066159695817478,True,0-20%
ELMRA,3M,2023-12-31,25.7568,28.2642,90,2,0.9861255514603441,0.6921792219359314,1.2915972180223767,8.317881830327279,0.1154060234138147,0.09734904957137536,0.09534904957137535,True,50-100%
VESTUM,3M,2023-12-31,7.25,8.125,90,3,0.9843076983656263,2.7545851021317853,0.7717614804660726,32.90501182155749,0.5163553707865168,0.1206896551724138,0.1186896551724138,True,>100%
NIUTEC,3M,2023-12-31,7.59,6.73,90,4,0.9840207649135546,1.451508753382989,0.15152429821913674,22.21472056307741,0.3549742422571065,-0.11330698287220019,-0.11530698287220019,False,>100%
AIK B,3M,2023-12-31,1.6,1.575,90,5,0.9839002570063998,0.5207362340767905,0.05764344143412427,9.150027333754158,0.14731308845785784,-0.015625000000000083,-0.017625000000000085,False,50-100%
BINERO,3M,2024-01-30,2.76,2.42,90,1,0.9896641048107538,1.86763430315055,0.1334921610820781,28.33252764819767,0.29284203621818977,-0.12318840579710141,-0.12518840579710142,False,>100%
TELIA1,3M,2024-01-30,0.4811,0.7816,90,2,0.9884600418026597,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.021360844813118642,0.6246102681355226,0.6226102681355226,True,0-20%
HYPRO,3M,2024-01-30,13.88,12.52,90,3,0.9874618763987446,8.233671375328193,0.044925994898634636,123.32027748029587,1.5462048815890665,-0.09798270893371766,-0.09998270893371766,False,>100%
EQVA,3M,2024-01-30,3.0356,3.3,90,4,0.9862878138200325,1.9740591888929488,0.7436256770297118,24.17043132496327,0.33142945437801435,0.08709974963763333,0.08509974963763332,True,>100%
ELLWEE,3M,2024-01-30,18.05,6.58,90,5,0.9862373190938429,0.13792789168080866,2.2232664888991684,2.4982428626484907,0.03438251934471558,-0.6354570637119114,-0.6374570637119114,False,0-20%
ELLWEE,3M,2024-02-29,13.6,6.04,90,1,0.9896303346081032,0.13792789168080866,2.2232664888991684,2.4982428626484907,0.02590594255335911,-0.5558823529411765,-0.5578823529411765,False,0-20%
BINERO,3M,2024-02-29,3.1,3.5,90,2,0.9883908423599047,1.86763430315055,0.1334921610820781,28.33252764819767,0.32891677981028566,0.1290322580645161,0.1270322580645161,True,>100%
HYPRO,3M,2024-02-29,13.64,9.99,90,3,0.987678673924991,8.233671375328193,0.044925994898634636,123.32027748029587,1.5194693504953074,-0.2675953079178886,-0.2695953079178886,False,>100%
EQVA,3M,2024-02-29,2.9232,4.89,90,4,0.986795538726683,1.9740591888929488,0.7436256770297118,24.17043132496327,0.31915752438984435,0.6728243021346468,0.6708243021346468,True,>100%
TELIA1,3M,2024-02-29,0.5776,0.7642,90,5,0.9861453339123181,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.0256454457785436,0.32306094182825484,0.32106094182825484,True,0-20%
HYPRO,3M,2024-03-30,12.04,10.8,90,1,0.9891239907666343,8.233671375328193,0.044925994898634636,123.32027748029587,1.3412324765369135,-0.10299003322259125,-0.10499003322259125,False,>100%
EQVA,3M,2024-03-30,3.2792,5.08,90,2,0.9851874420472562,1.9740591888929488,0.7436256770297118,24.17043132496327,0.3580259147438347,0.5491583313003172,0.5471583313003172,True,>100%
TELIA1,3M,2024-03-30,0.619,0.8352,90,3,0.9851522882474462,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.027483606192725916,0.3492730210016156,0.3472730210016156,True,0-20%
NFGAB,3M,2024-03-30,13.3,16.4,90,4,0.9839633276163505,0.144091639028767,2.773409917268272,2.5629622098020532,0.041101385290269625,0.2330827067669171,0.2310827067669171,True,0-20%
STAR B,3M,2024-03-30,0.2385,0.3244,90,5,0.9822619244764175,2.0013769184701578,0.018799488516205182,31.342882126440873,0.5559624102855519,0.3601677148846962,0.3581677148846962,True,>100%
DSNO,3M,2024-04-29,0.333,0.232,90,1,0.9765726391209385,0.0023836667012124527,-1.422077922077922,2.190943984505491,0.051328035390818864,-0.3033033033033033,-0.3053033033033033,False,0-20%
ESGR B,3M,2024-04-29,33.5,32.75,90,2,0.9681065763124985,1.4521132230635738,0.028567915762850293,23.082165466804614,0.736169282857815,-0.022388059701492536,-0.024388059701492534,False,>100%
ERRIA,3M,2024-04-29,3.74,3.5,90,3,0.9347893133392744,0.20698801906975567,1.5341940432059313,3.2233742002324344,0.21019844496162415,-0.06417112299465245,-0.06617112299465246,False,20-50%
ADMIN,3M,2024-04-29,2.4466,2.3683,90,4,0.9317670856428999,0.43782783435388084,0.535777001774427,6.770716484783913,0.461985718042467,-0.03200359682825146,-0.034003596828251464,False,20-50%
BULTEN,3M,2024-04-29,81.3,78.0,90,5,0.9296560064798444,0.2867679928475638,0.9064200217627857,4.223935756490287,0.2971285094841063,-0.040590405904059004,-0.042590405904059006,False,20-50%
BINERO,3M,2024-05-29,3.56,3.1,90,1,0.986668193161697,1.86763430315055,0.1334921610820781,28.33252764819767,0.3777237858466506,-0.1292134831460674,-0.1312134831460674,False,>100%
DSNO,3M,2024-05-29,0.312,0.21,90,2,0.978050040257456,0.0023836667012124527,-1.422077922077922,2.190943984505491,0.048091132258064516,-0.3269230769230769,-0.32892307692307693,False,0-20%
ERRIA,3M,2024-05-29,3.5,3.04,90,3,0.9389739563335456,0.20698801906975567,1.5341940432059313,3.2233742002324344,0.19670977469670708,-0.13142857142857142,-0.13342857142857142,False,20-50%
ADMIN,3M,2024-05-29,2.4074,2.5836,90,4,0.9328603294272529,0.43782783435388084,0.535777001774427,6.770716484783913,0.4545836743298598,0.07319099443382908,0.07119099443382908,True,20-50%
CRBX,3M,2024-05-29,4.98,6.88,90,5,0.9267119688641229,1.4892423908373915,0.16061919341538405,22.689953123250596,1.6629019909683813,0.38152610441767054,0.37952610441767054,True,>100%
BINERO,3M,2024-06-28,3.7,2.92,90,1,0.9861439086231121,1.86763430315055,0.1334921610820781,28.33252764819767,0.3925780920316313,-0.21081081081081088,-0.21281081081081088,False,>100%
DSNO,3M,2024-06-28,0.28,0.406,90,2,0.9803013181797683,0.0023836667012124527,-1.422077922077922,2.190943984505491,0.04315870843672457,0.44999999999999996,0.44799999999999995,True,0-20%
ERRIA,3M,2024-06-28,3.36,3.34,90,3,0.9414149980802037,0.20698801906975567,1.5341940432059313,3.2233742002324344,0.1888413837088388,-0.005952380952380958,-0.007952380952380957,False,20-50%
CRBX,3M,2024-06-28,4.4,7.7,90,4,0.9352475226911929,1.4892423908373915,0.16061919341538405,22.689953123250596,1.4692306747511803,0.7499999999999999,0.7479999999999999,True,>100%
ADMIN,3M,2024-06-28,2.3487,2.564,90,5,0.9344974062165777,0.43782783435388084,0.535777001774427,6.770716484783913,0.44349949152552204,0.09166773108528124,0.08966773108528124,True,20-50%
ERRIA,3M,2024-07-28,3.5,3.04,90,2,0.9389739563335456,0.20698801906975567,1.4307468477206595,3.2233742002324344,0.19670977469670708,-0.13142857142857142,-0.13342857142857142,False,20-50%
SMSMED,3M,2024-07-28,6.1,5.94,90,4,0.914480321733579,0.7139263368836378,0.5320263297425221,10.260258965636169,0.877454045671367,-0.02622950819672119,-0.02822950819672119,False,50-100%
PIIPPO,3M,2024-07-28,1.81,1.6,90,5,0.9002407263196214,0.0,1.2154665514897105,1.0499999999999998,0.1047472373643975,-0.1160220994475138,-0.1180220994475138,False,Negative
ERRIA,3M,2024-08-27,3.16,3.02,90,1,0.9449022005754297,0.20698801906975567,1.4307468477206595,3.2233742002324344,0.17760082515474127,-0.044303797468354465,-0.04630379746835447,False,20-50%
SMSMED,3M,2024-08-27,5.82,6.7,90,3,0.9184058151622015,0.7139263368836378,0.5320263297425221,10.260258965636169,0.837177466525796,0.15120274914089343,0.14920274914089343,True,50-100%
RENT,3M,2024-08-27,0.2356,0.06,90,4,0.9160507254205605,0.5278128234931441,0.0,9.417192352397162,0.7905664665587865,-0.7453310696095077,-0.7473310696095077,False,50-100%
HOVE,3M,2024-08-27,3.2057,2.95,90,5,0.9092826871669518,0.2127311506259082,0.05363130015237802,4.615492457460649,0.418705073142032,-0.07976417007205915,-0.08176417007205915,False,20-50%
ELMRA,6M,2023-10-27,20.3837,27.8463,180,1,0.9890198861388921,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09133128958023415,0.3661062515637494,0.3641062515637494,True,50-100%
ENRO,6M,2023-10-27,0.528,0.538,180,2,0.9881890605328606,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.037796516645161295,0.018939393939393954,0.016939393939393955,True,0-20%
NAS,6M,2023-10-27,7.5007,15.7149,180,3,0.987503916701797,2.717480718056012,2.3992720178902793,29.583547539588128,0.3696784743110397,1.0951244550508619,1.0931244550508619,True,>100%
NIUTEC,6M,2023-10-27,7.23,7.08,180,5,0.9847786732971013,1.451508753382989,0.15152429821913674,22.21472056307741,0.3381375193042003,-0.020746887966805027,-0.022746887966805025,False,>100%
ELMRA,6M,2023-11-26,20.469,28.6175,180,1,0.9889739374783274,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09171348510907308,0.3980897943231227,0.3960897943231227,True,50-100%
ENRO,6M,2023-11-26,0.53,0.55,180,2,0.9881443221257882,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.037939685268817205,0.03773584905660381,0.035735849056603805,True,0-20%
NIUTEC,6M,2023-11-26,7.4,5.96,180,3,0.9844207721159821,1.451508753382989,0.15152429821913674,22.21472056307741,0.34608819403196156,-0.19459459459459463,-0.19659459459459463,False,>100%
NAS,6M,2023-11-26,9.3873,13.6996,180,4,0.9843608619535216,2.717480718056012,2.3992720178902793,29.583547539588128,0.46266118387617455,0.45937596540006187,0.45737596540006187,True,>100%
SAMT B,6M,2023-11-26,3.76,3.32,180,5,0.9830645100551977,0.4152080706179066,0.19816946331992788,7.268677778432592,0.1230986194286529,-0.11702127659574467,-0.11902127659574467,False,20-50%
ENRO,6M,2023-12-26,0.532,0.51,180,1,0.9880995837187156,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03808285389247312,-0.04135338345864665,-0.04335338345864665,False,0-20%
ELMRA,6M,2023-12-26,25.6885,30.2252,180,2,0.9861623427090729,0.6921792219359314,1.2915972180223767,8.317881830327279,0.1150999981544982,0.1766043171068766,0.1746043171068766,True,50-100%
NIUTEC,6M,2023-12-26,7.3,6.4,180,3,0.9846313022225229,1.451508753382989,0.15152429821913674,22.21472056307741,0.34141132654504314,-0.12328767123287664,-0.12528767123287662,False,>100%
AIK B,6M,2023-12-26,1.56,1.6,180,4,0.98430275058124,0.5207362340767905,0.05764344143412427,9.150027333754158,0.1436302612464114,0.025641025641025664,0.023641025641025666,True,50-100%
SAMT B,6M,2023-12-26,3.5,3.16,180,5,0.9842355811684022,0.4152080706179066,0.19816946331992788,7.268677778432592,0.11458648085113966,-0.0971428571428571,-0.0991428571428571,False,20-50%
BINERO,6M,2024-01-25,2.74,3.48,180,1,0.9897390026019803,1.86763430315055,0.1334921610820781,28.33252764819767,0.2907199924774783,0.2700729927007298,0.2680729927007298,True,>100%
TELIA1,6M,2024-01-25,0.4919,0.8878,180,2,0.9882009864118235,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.0218403649211662,0.8048383817849157,0.8028383817849157,True,0-20%
HYPRO,6M,2024-01-25,14.82,10.86,180,3,0.9866127527542791,8.233671375328193,0.044925994898634636,123.32027748029587,1.6509190450396227,-0.2672064777327936,-0.2692064777327936,False,>100%
ELLWEE,6M,2024-01-25,17.7,5.66,180,4,0.986504185482605,0.13792789168080866,2.2232664888991684,2.4982428626484907,0.03371582229371002,-0.6802259887005649,-0.682225988700565,False,0-20%
EQVA,6M,2024-01-25,2.9981,5.0,180,5,0.9864572060264328,1.9740591888929488,0.7436256770297118,24.17043132496327,0.32733517168623166,0.6677228911644041,0.6657228911644041,True,>100%
HYPRO,6M,2024-02-24,11.68,9.27,180,1,0.989449187056004,8.233671375328193,0.044925994898634636,123.32027748029587,1.301129179896275,-0.20633561643835618,-0.20833561643835619,False,>100%
ELLWEE,6M,2024-02-24,14.55,5.02,180,2,0.9889059829814634,0.13792789168080866,2.2232664888991684,2.4982428626484907,0.02771554883465993,-0.6549828178694158,-0.6569828178694158,False,0-20%
EQVA,6M,2024-02-24,2.9981,5.2,180,3,0.9864572060264328,1.9740591888929488,0.7436256770297118,24.17043132496327,0.32733517168623166,0.7344318068109803,0.7324318068109803,True,>100%
TELIA1,6M,2024-02-24,0.5752,1.1151,180,4,0.9862029017769482,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.025538885754533034,0.9386300417246174,0.9366300417246174,True,0-20%
BINERO,6M,2024-02-24,3.8,3.28,180,5,0.98576941966698,1.86763430315055,0.1334921610820781,28.33252764819767,0.40318831073518885,-0.1368421052631579,-0.1388421052631579,False,>100%
HYPRO,6M,2024-03-25,11.4,9.0,180,1,0.9897021175032916,8.233671375328193,0.044925994898634636,123.32027748029587,1.2699377269535561,-0.2105263157894737,-0.2125263157894737,False,>100%
EQVA,6M,2024-03-25,3.1012,6.0,180,2,0.9859914903869696,1.9740591888929488,0.7436256770297118,24.17043132496327,0.33859171956683953,0.9347349413130401,0.9327349413130401,True,>100%
TELIA1,6M,2024-03-25,0.6163,1.1944,180,3,0.9852170520951552,0.0762888684594054,1.8703898655998876,1.8510331188237565,0.027363726165714024,0.9380171994158689,0.9360171994158689,True,0-20%
NFGAB,6M,2024-03-25,13.0,21.0,180,4,0.9843250570686134,0.144091639028767,2.773409917268272,2.5629622098020532,0.04017428637394775,0.6153846153846154,0.6133846153846154,True,0-20%
STAR A,6M,2024-03-25,0.225,0.278,180,5,0.9832659664871863,2.0013769184701578,0.018799488516205182,31.342882126440873,0.5244928398920301,0.23555555555555563,0.23355555555555563,True,>100%
HYPRO,6M,2024-04-24,12.04,7.9,180,1,0.9891239907666343,8.233671375328193,0.044925994898634636,123.32027748029587,1.3412324765369135,-0.34385382059800657,-0.34585382059800657,False,>100%
NFGAB,6M,2024-04-24,13.3,21.9,180,2,0.9839633276163505,0.144091639028767,2.773409917268272,2.5629622098020532,0.041101385290269625,0.6466165413533833,0.6446165413533833,True,0-20%
STAR B,6M,2024-04-24,0.2385,0.2492,180,3,0.9822619244764175,2.0013769184701578,0.018799488516205182,31.342882126440873,0.5559624102855519,0.04486373165618455,0.042863731656184546,True,>100%
SAMT B,6M,2024-04-24,3.3,3.4,180,4,0.9803717501990197,0.20932526288328973,0.06349206349206349,4.5515002967112625,0.0893379847930845,0.03030303030303033,0.02830303030303033,True,20-50%
STAR A,6M,2024-04-24,0.28,0.271,180,5,0.9791754249618319,2.0013769184701578,0.018799488516205182,31.342882126440873,0.6527022007545265,-0.03214285714285717,-0.03414285714285717,False,>100%
BINERO,6M,2024-05-24,3.5,2.6,180,1,0.9868928865353763,1.86763430315055,0.1334921610820781,28.33252764819767,0.37135765462451603,-0.2571428571428571,-0.2591428571428571,False,>100%
DSNO,6M,2024-05-24,0.315,0.294,180,2,0.9778389829522393,0.0023836667012124527,-1.422077922077922,2.190943984505491,0.04855354699131514,-0.06666666666666672,-0.06866666666666672,False,0-20%
ERRIA,6M,2024-05-24,3.78,3.0,180,3,0.9340918728402292,0.20698801906975567,1.5341940432059313,3.2233742002324344,0.21244655667244366,-0.2063492063492063,-0.2083492063492063,False,20-50%
ADMIN,6M,2024-05-24,2.3879,2.3683,180,4,0.9334041624322245,0.43782783435388084,0.535777001774427,6.770716484783913,0.4509015352381292,-0.0082080489132711,-0.0102080489132711,False,20-50%
KELAS,6M,2024-05-24,3.92,3.5,180,5,0.925939222557694,0.20785818633757058,1.054140625,3.2325109565444907,0.23940227453245724,-0.10714285714285712,-0.10914285714285712,False,20-50%
ENRO,1Y,2023-07-19,0.55,0.452,365,1,0.9876969380550632,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03937137150537635,-0.17818181818181822,-0.18018181818181822,False,0-20%
HAVI,1Y,2023-07-19,13.56,6.25,365,2,0.9874849411652816,0.27755498774816517,-19.693091756954768,39.12183739281495,0.489612096693364,-0.5390855457227138,-0.5410855457227138,False,20-50%
NAS,1Y,2023-07-19,9.655,10.6768,365,3,0.983914876712287,2.717480718056012,2.3992720178902793,29.583547539588128,0.47585500946219517,0.10583117555670644,0.10383117555670644,True,>100%
AIK B,1Y,2023-07-19,1.735,1.54,365,5,0.9825418411913148,0.5207362340767905,0.05764344143412427,9.150027333754158,0.1597426302964896,-0.1123919308357349,-0.1143919308357349,False,50-100%
HAVI,1Y,2023-08-18,11.1,5.1,365,1,0.9897553721928191,0.27755498774816517,-19.693091756954768,39.12183739281495,0.40078866322244394,-0.5405405405405406,-0.5425405405405406,False,20-50%
ENRO,1Y,2023-08-18,0.56,0.427,365,2,0.9874732460197008,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.04008721462365592,-0.2375000000000001,-0.2395000000000001,False,0-20%
NOSIUM B,1Y,2023-08-18,0.347,0.027,365,3,0.985503133661065,-0.3335891713915425,0.24463462146485904,0.5,0.007248433169467507,-0.9221902017291066,-0.9241902017291066,False,Negative
NAS,1Y,2023-08-18,9.2529,9.7922,365,4,0.9845847708680601,2.717480718056012,2.3992720178902793,29.583547539588128,0.45603716385838905,0.05828442974634968,0.05628442974634968,True,>100%
VESTUM,1Y,2023-08-18,8.025,10.46,365,5,0.9826302454322966,2.7545851021317853,0.7717614804660726,32.90501182155749,0.5715519793878342,0.30342679127725863,0.30142679127725863,True,>100%
MYBEAT,1Y,2023-09-17,5.07,6.27,365,1,0.9895811026518996,6.419467834892176,3.348720937557555,68.45441226636784,0.7132194944278375,0.23668639053254423,0.23468639053254423,True,>100%
VESTUM,1Y,2023-09-17,4.964,9.3,365,2,0.9892556434050991,2.7545851021317853,0.7717614804660726,32.90501182155749,0.3535431807702441,0.8734891216760676,0.8714891216760676,True,>100%
ELMRA,1Y,2023-09-17,20.469,29.5821,365,3,0.9889739374783274,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09171348510907308,0.4452147149347794,0.4432147149347794,True,50-100%
ENRO,1Y,2023-09-17,0.542,0.437,365,4,0.9878758916833532,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03879869701075269,-0.19372693726937276,-0.19572693726937276,False,0-20%
NIUTEC,1Y,2023-09-17,6.44,6.4,365,5,0.9864418611387736,1.451508753382989,0.15152429821913674,22.21472056307741,0.3011902661575449,-0.006211180124223607,-0.008211180124223607,False,>100%
ELMRA,1Y,2023-10-17,20.8783,30.9142,365,1,0.9887534593215968,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09354739636292737,0.48068568801099715,0.47868568801099715,True,50-100%
ENRO,1Y,2023-10-17,0.54,0.44,365,2,0.9879206300904257,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03865552838709678,-0.18518518518518523,-0.18718518518518523,False,0-20%
NAS,1Y,2023-10-17,8.0419,11.2066,365,3,0.9866022834834325,2.717480718056012,2.3992720178902793,29.583547539588128,0.3963519834898009,0.393526405451448,0.391526405451448,True,>100%
RECY B,1Y,2023-10-17,0.243,0.257,365,4,0.9854620090002303,0.12322943343891718,-6.468630070895199,9.846390317917207,0.1431467338221001,0.057613168724279885,0.055613168724279884,True,0-20%
AIK B,1Y,2023-10-17,1.6,1.6,365,5,0.9839002570063998,0.5207362340767905,0.05764344143412427,9.150027333754158,0.14731308845785784,0.0,-0.002,False,50-100%
LEHTO,1Y,2023-11-16,0.0204,0.0318,365,1,0.9896649044551626,-0.14674490025712156,1.6780778705762183,0.5,0.005167547772418654,0.5588235294117647,0.5568235294117647,True,Negative
ELMRA,1Y,2023-11-16,20.5884,34.7728,365,2,0.9889096201269626,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09224846923736578,0.6889510598200927,0.6869510598200927,True,50-100%
ENRO,1Y,2023-11-16,0.538,0.488,365,3,0.9879653684974983,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03851235976344086,-0.09293680297397777,-0.09493680297397777,False,0-20%
NIUTEC,1Y,2023-11-16,6.3,3.85,365,4,0.9867366032879308,1.451508753382989,0.15152429821913674,22.21472056307741,0.2946426516758591,-0.38888888888888884,-0.39088888888888884,False,>100%
NAS,1Y,2023-11-16,9.2586,10.6011,365,5,0.9845752747310595,2.717480718056012,2.3992720178902793,29.583547539588128,0.4563180932787862,0.1450003240230706,0.14300032402307059,True,>100%
